val_loss,val_acc,epoch,step,train_loss,train_acc,test_loss,test_acc
0.5242651700973511,0.7762850522994995,0,373,,,,
,,0,373,0.9226747155189514,0.6450372338294983,,
0.4142165780067444,0.8346962332725525,1,747,,,,
,,1,747,0.5412724614143372,0.7889455556869507,,
0.4433472156524658,0.8276869058609009,2,1121,,,,
,,2,1121,0.4671168625354767,0.824400007724762,,
0.37540921568870544,0.8691588640213013,3,1495,,,,
,,3,1495,0.41621312499046326,0.8448867201805115,,
0.3441225290298462,0.8720794320106506,4,1869,,,,
,,4,1869,0.37552180886268616,0.8627811670303345,,
0.23311758041381836,0.9164719581604004,5,2243,,,,
,,5,2243,0.3376837968826294,0.876160204410553,,
0.3051241636276245,0.8931074738502502,6,2617,,,,
,,6,2617,0.3230001628398895,0.8810937404632568,,
0.2615092694759369,0.9106308221817017,7,2991,,,,
,,7,2991,0.30611103773117065,0.8888702988624573,,
0.23293659090995789,0.922897219657898,8,3365,,,,
,,8,3365,0.2985917627811432,0.8922150731086731,,
0.2175666093826294,0.9246495366096497,9,3739,,,,
,,9,3739,0.2888505160808563,0.8948072791099548,,
0.22515182197093964,0.922897219657898,10,4113,,,,
,,10,4113,0.26553529500961304,0.9050924181938171,,
0.2567063868045807,0.9106308221817017,11,4487,,,,
,,11,4487,0.27579623460769653,0.8990718126296997,,
0.24767860770225525,0.9158878326416016,12,4861,,,,
,,12,4861,0.26177582144737244,0.9081863164901733,,
0.18761450052261353,0.9398364424705505,13,5235,,,,
,,13,5235,0.2655090391635895,0.9036708474159241,,
0.21406862139701843,0.9264018535614014,14,5609,,,,
,,14,5609,0.24850063025951385,0.910193145275116,,
0.18842239677906036,0.9322429895401001,15,5983,,,,
,,15,5983,0.2532854974269867,0.907768189907074,,
0.1987149566411972,0.9322429895401001,16,6357,,,,
,,16,6357,0.23993109166622162,0.9127017259597778,,
0.1921301633119583,0.9380841255187988,17,6731,,,,
,,17,6731,0.22981774806976318,0.916631817817688,,
0.20675407350063324,0.9281542301177979,18,7105,,,,
,,18,7105,0.23657061159610748,0.9146249890327454,,
0.16587285697460175,0.9421728849411011,19,7479,,,,
,,19,7479,0.22431199252605438,0.9209800362586975,,
0.20633894205093384,0.9223130941390991,20,7853,,,,
,,20,7853,0.22955568134784698,0.9179697036743164,,
0.22842422127723694,0.9264018535614014,21,8227,,,,
,,21,8227,0.22676008939743042,0.9179697036743164,,
0.27098360657691956,0.90362149477005,22,8601,,,,
,,22,8601,0.22046853601932526,0.9210636615753174,,
0.21750526130199432,0.9252336621284485,23,8975,,,,
,,23,8975,0.2183181792497635,0.9224851727485657,,
0.1771678626537323,0.9351635575294495,24,9349,,,,
,,24,9349,0.21885715425014496,0.9198093414306641,,
0.20618604123592377,0.9240654110908508,25,9723,,,,
,,25,9723,0.21656961739063263,0.9229032397270203,,
0.22885680198669434,0.9164719581604004,26,10097,,,,
,,26,10097,0.21650949120521545,0.9231541156768799,,
0.17577195167541504,0.9415887594223022,27,10471,,,,
,,27,10471,0.21438592672348022,0.9234885573387146,,
0.1895471215248108,0.9328271150588989,28,10845,,,,
,,28,10845,0.2041667252779007,0.9264152646064758,,
0.18109583854675293,0.9328271150588989,29,11219,,,,
,,29,11219,0.21124988794326782,0.9234885573387146,,
0.1394108235836029,0.9491822719573975,30,11593,,,,
,,30,11593,0.21458426117897034,0.9208964109420776,,
0.17834974825382233,0.9351635575294495,31,11967,,,,
,,31,11967,0.20620860159397125,0.9252445697784424,,
0.15975549817085266,0.947429895401001,32,12341,,,,
,,32,12341,0.20319056510925293,0.9254118204116821,,
0.20168505609035492,0.9322429895401001,33,12715,,,,
,,33,12715,0.19873616099357605,0.9274187088012695,,
0.16994042694568634,0.9421728849411011,34,13089,,,,
,,34,13089,0.20547933876514435,0.9239903092384338,,
0.16039395332336426,0.9415887594223022,35,13463,,,,
,,35,13463,0.19659680128097534,0.9270005822181702,,
0.16636046767234802,0.9468457698822021,36,13837,,,,
,,36,13837,0.20452751219272614,0.9259971380233765,,
0.1744956076145172,0.9439252614974976,37,14211,,,,
,,37,14211,0.19831568002700806,0.9275022745132446,,
0.19747228920459747,0.9240654110908508,38,14585,,,,
,,38,14585,0.20031844079494476,0.9234049916267395,,
0.1639525443315506,0.9433411359786987,39,14959,,,,
,,39,14959,0.1922847181558609,0.9315159916877747,,
0.1547873318195343,0.9468457698822021,40,15333,,,,
,,40,15333,0.20059695839881897,0.9265825152397156,,
0.20578931272029877,0.9304906725883484,41,15707,,,,
,,41,15707,0.200411856174469,0.9285057187080383,,
0.19621071219444275,0.9304906725883484,42,16081,,,,
,,42,16081,0.19256018102169037,0.9305962324142456,,
0.18668247759342194,0.9363317489624023,43,16455,,,,
,,43,16455,0.1966688632965088,0.9290074706077576,,
0.16222752630710602,0.9427570104598999,44,16829,,,,
,,44,16829,0.19279694557189941,0.9316832423210144,,
0.19880573451519012,0.9287382960319519,45,17203,,,,
,,45,17203,0.1950247883796692,0.9299272298812866,,
0.21091203391551971,0.9299065470695496,46,17577,,,,
,,46,17577,0.18969424068927765,0.9305962324142456,,
0.1587904691696167,0.9398364424705505,47,17951,,,,
,,47,17951,0.18808706104755402,0.9325194358825684,,
0.23397263884544373,0.9205607771873474,48,18325,,,,
,,48,18325,0.19190336763858795,0.9312651753425598,,
0.20903198421001434,0.9258177280426025,49,18699,,,,
,,49,18699,0.1887550801038742,0.9309306740760803,,
0.17464004456996918,0.9357476830482483,50,19073,,,,
,,50,19073,0.1865868866443634,0.9317668676376343,,
0.20134778320789337,0.9299065470695496,51,19447,,,,
,,51,19447,0.19081352651119232,0.9310142993927002,,
0.16360794007778168,0.9398364424705505,52,19821,,,,
,,52,19821,0.19161611795425415,0.9335228800773621,,
0.16998839378356934,0.9456775784492493,53,20195,,,,
,,53,20195,0.18346358835697174,0.932770311832428,,
0.12968111038208008,0.9526869058609009,54,20569,,,,
